victim_set,victim_line_count,probe_set,count,sum_probe_time
0,5,25,1753,53121
0,5,26,1753,53162
0,5,27,1753,53110
0,5,28,1753,53160
0,5,29,1753,105272
0,5,30,1753,74067
0,5,31,1753,53194
0,5,32,1753,53130
0,5,33,1753,53052
0,5,34,1753,53239
0,5,35,1753,53133
0,5,36,1753,53239
0,5,37,1753,53138
0,5,38,1753,53178
0,5,39,1753,53120
0,5,40,1753,53080
0,5,41,1753,53234
0,5,42,1753,53063
0,5,43,1753,53100
0,5,44,1753,53190
0,5,45,1753,53033
0,5,46,1753,54113
0,5,47,1753,53157
0,5,48,1753,53076
0,5,49,1753,53237
0,5,50,1753,53050
0,5,51,1753,53321
0,5,52,1753,53271
0,5,53,1753,53006
0,5,54,1753,53168
0,5,55,1753,53071
0,5,56,1753,53125
0,5,57,1753,53109
0,5,58,1753,53114
0,5,59,1753,53176
0,5,60,1753,105533
0,5,61,1753,106002
0,5,62,1753,105221
0,5,63,1753,105242
0,6,0,1708,102940
0,6,1,1708,103042
0,6,2,1708,83095
0,6,3,1708,102405
0,6,4,1708,102998
0,6,5,1708,102835
0,6,6,1708,102529
0,6,7,1708,110221
0,6,8,1708,110107
0,6,9,1708,102764
0,6,10,1708,57840
0,6,11,1708,102615
0,6,12,1708,102497
0,6,13,1708,51609
0,6,14,1708,55963
0,6,15,1708,51718
0,6,16,1708,50914
0,6,17,1708,51763
0,6,18,1708,102555
0,6,19,1708,110947
0,6,20,1708,102093
0,6,21,1708,102649
0,6,22,1708,90936
0,6,23,1708,51894
0,6,24,1708,51847
0,6,25,1708,51880
0,6,26,1708,51926
0,6,27,1708,51890
0,6,28,1708,51851
0,6,29,1708,102486
0,6,30,1708,71192
0,6,31,1708,51640
0,6,32,1708,51802
0,6,33,1708,51672
0,6,34,1708,51628
0,6,35,1708,51853
0,6,36,1708,51865
0,6,37,1708,51717
0,6,38,1708,51989
0,6,39,1708,52172
0,6,40,1708,51814
0,6,41,1708,51876
0,6,42,1708,51794
0,6,43,1708,51692
0,6,44,1708,51784
0,6,45,1708,51791
0,6,46,1708,51984
0,6,47,1708,51731
0,6,48,1708,51644
0,6,49,1708,51867
0,6,50,1708,52079
0,6,51,1708,51717
0,6,52,1708,52185
0,6,53,1708,51880
0,6,54,1708,51609
0,6,55,1708,51791
0,6,56,1708,51820
0,6,57,1708,51916
0,6,58,1708,51703
0,6,59,1708,51601
0,6,60,1708,51965
0,6,61,1708,51717
0,6,62,1708,51899
0,6,63,1708,102472
0,7,0,1727,103584
0,7,1,1727,104403
0,7,2,1727,84364
0,7,3,1727,103244
0,7,4,1727,52273
0,7,5,1727,52501
0,7,6,1727,52275
0,7,7,1727,84321
0,7,8,1727,94563
0,7,9,1727,68434
0,7,10,1727,59354
0,7,11,1727,52245
0,7,12,1727,103705
0,7,13,1727,104167
0,7,14,1727,103815
0,7,15,1727,104631
0,7,16,1727,51450
0,7,17,1727,103663
0,7,18,1727,103762
0,7,19,1727,98769
0,7,20,1727,103541
0,7,21,1727,103801
0,7,22,1727,101476
0,7,23,1727,52370
0,7,24,1727,52532
0,7,25,1727,52371
0,7,26,1727,52398
0,7,27,1727,52500
0,7,28,1727,52202
0,7,29,1727,103653
0,7,30,1727,72916
0,7,31,1727,52342
0,7,32,1727,52494
0,7,33,1727,52175
0,7,34,1727,52258
0,7,35,1727,52368
0,7,36,1727,52350
0,7,37,1727,52346
0,7,38,1727,52398
0,7,39,1727,52248
0,7,40,1727,52450
0,7,41,1727,52423
0,7,42,1727,52450
0,7,43,1727,52285
0,7,44,1727,52380
0,7,45,1727,52401
0,7,46,1727,52428
0,7,47,1727,52273
0,7,48,1727,52327
0,7,49,1727,52448
0,7,50,1727,52329
