victim_set,victim_line_count,probe_set,count,sum_probe_time
0,5,8,3518,214610
0,5,9,3521,212571
0,5,10,3521,212989
0,5,11,3520,213620
0,5,12,3522,211937
0,5,13,3522,213459
0,5,14,3520,211007
0,5,15,3519,212684
0,5,16,3520,211541
0,5,17,3521,213215
0,5,18,3520,214724
0,5,19,3522,211423
0,5,20,3521,212093
0,5,21,3521,210838
0,5,22,3523,210293
0,5,23,3523,211255
0,5,24,3520,212220
0,5,25,3519,212376
0,5,26,3520,210848
0,5,27,3522,210923
0,5,28,3523,210718
0,5,29,3520,213686
0,5,30,3523,211088
0,5,31,3522,211035
0,5,32,3519,213333
0,5,33,3522,212149
0,5,34,3521,213776
0,5,35,3520,211102
0,5,36,3520,212004
0,5,37,3519,213874
0,5,38,3519,212232
0,5,39,3520,212993
0,5,40,3523,214796
0,5,41,3521,211179
0,5,42,3522,214318
0,5,43,3522,213426
0,5,44,3522,214199
0,5,45,3522,212681
0,5,46,3522,221882
0,5,47,3516,214926
0,5,48,3523,215608
0,5,49,3522,218871
0,5,50,3520,216792
0,5,51,3522,213711
0,5,52,3520,219210
0,5,53,3519,221875
0,5,54,3519,218052
0,5,55,3523,214250
0,5,56,3520,211721
0,5,57,3522,212979
0,5,58,3522,215801
0,5,59,3523,212450
0,5,60,3521,211820
0,5,61,3521,212116
0,5,62,3521,216561
0,5,63,3521,211905
0,6,0,3449,205973
0,6,1,3449,209712
0,6,2,3449,205987
0,6,3,3449,206093
0,6,4,3448,206915
0,6,5,3447,207870
0,6,6,3447,206623
0,6,7,3447,206224
0,6,8,3446,207763
0,6,9,3448,208517
0,6,10,3447,208965
0,6,11,3447,209012
0,6,12,3448,209175
0,6,13,3446,209521
0,6,14,3449,207489
0,6,15,3448,209162
0,6,16,3447,208925
0,6,17,3446,207632
0,6,18,3449,209183
0,6,19,3449,206803
0,6,20,3446,206644
0,6,21,3449,207193
0,6,22,3449,206296
0,6,23,3448,206529
0,6,24,3448,207268
0,6,25,3444,210309
0,6,26,3449,206746
0,6,27,3449,206101
0,6,28,3449,206751
