victim_set,victim_line,probe_set,count,sum_probe_time
0,2,49,1203,155178
0,2,50,1203,155360
0,2,51,1203,155208
0,2,52,1203,157138
0,2,53,1203,155620
0,2,54,1203,159208
0,2,55,1202,155662
0,2,56,1203,155148
0,2,57,1203,155154
0,2,58,1203,155900
0,2,59,1202,154740
0,2,60,1203,155248
0,2,61,1203,155240
0,2,62,1203,268942
0,2,63,1203,252170
0,3,0,1263,259262
0,3,1,1263,261970
0,3,2,1262,264834
0,3,3,1263,241744
0,3,4,1262,230520
0,3,5,1263,225622
0,3,6,1263,225684
0,3,7,1263,225004
0,3,8,1263,228182
0,3,9,1263,173838
0,3,10,1263,171670
0,3,11,1263,163000
0,3,12,1263,162526
0,3,13,1263,163200
0,3,14,1262,165348
0,3,15,1263,163130
0,3,16,1263,259734
0,3,17,1263,163484
0,3,18,1263,163110
0,3,19,1263,162492
0,3,20,1263,162656
0,3,21,1263,163314
0,3,22,1263,163528
0,3,23,1263,162886
0,3,24,1263,163164
0,3,25,1263,260704
0,3,26,1263,266842
0,3,27,1263,260766
0,3,28,1263,262150
0,3,29,1263,260512
0,3,30,1262,260394
0,3,31,1263,259152
0,3,32,1263,162698
0,3,33,1262,162744
0,3,34,1263,163306
0,3,35,1263,163078
0,3,36,1263,163724
0,3,37,1263,162656
0,3,38,1262,162770
0,3,39,1263,163404
0,3,40,1263,162798
0,3,41,1263,163214
0,3,42,1263,162694
0,3,43,1263,162898
0,3,44,1263,163232
0,3,45,1263,162884
0,3,46,1263,259750
0,3,47,1263,162982
0,3,48,1263,163098
0,3,49,1263,163296
0,3,50,1263,162668
0,3,51,1262,162768
0,3,52,1263,164796
0,3,53,1263,162976
0,3,54,1263,166238
0,3,55,1263,163262
0,3,56,1263,162750
0,3,57,1263,162610
0,3,58,1263,163454
0,3,59,1263,162792
0,3,60,1263,162836
0,3,61,1263,162834
0,3,62,1263,282076
0,3,63,1263,265042
0,4,0,1220,249870
0,4,1,1220,251982
0,4,2,1220,250898
0,4,3,1219,221136
0,4,4,1220,221578
0,4,5,1220,217782
0,4,6,1219,217206
0,4,7,1220,218282
0,4,8,1220,217496
0,4,9,1220,166774
0,4,10,1220,167266
0,4,11,1220,156992
0,4,12,1220,157444
0,4,13,1220,157464
0,4,14,1220,161312
0,4,15,1220,157866
0,4,16,1220,250702
0,4,17,1220,157448
0,4,18,1220,157080
0,4,19,1219,157150
0,4,20,1220,156738
0,4,21,1220,157390
0,4,22,1220,157670
0,4,23,1220,156992
0,4,24,1220,156938
0,4,25,1220,157704
0,4,26,1220,255792
0,4,27,1220,249938
0,4,28,1220,156854
0,4,29,1220,250648
0,4,30,1220,157666
0,4,31,1220,157228
0,4,32,1220,156540
0,4,33,1220,247018
0,4,34,1220,252312
0,4,35,1220,251662
0,4,36,1220,251470
0,4,37,1219,251212
0,4,38,1220,256000
0,4,39,1220,252872
0,4,40,1220,251274
0,4,41,1220,157378
0,4,42,1220,156616
0,4,43,1220,217664
0,4,44,1220,157502
0,4,45,1220,156894
0,4,46,1220,250786
0,4,47,1219,156324
0,4,48,1220,200918
0,4,49,1220,157132
0,4,50,1220,157258
0,4,51,1220,156708
0,4,52,1220,159766
0,4,53,1220,157598
0,4,54,1220,207470
0,4,55,1220,157456
0,4,56,1220,156632
0,4,57,1220,156628
0,4,58,1220,157284
0,4,59,1220,156950
0,4,60,1220,157118
0,4,61,1220,156940
0,4,62,1220,275956
0,4,63,1218,254452
0,5,0,1222,250736
0,5,1,1222,251684
0,5,2,1222,251394
0,5,3,1222,219040
0,5,4,1221,218720
0,5,5,1222,215676
0,5,6,1222,215986
0,5,7,1222,215514
0,5,8,1222,215904
0,5,9,1221,168562
0,5,10,1222,167826
0,5,11,1222,157552
0,5,12,1222,157302
0,5,13,1222,157684
0,5,14,1222,160462
0,5,15,1222,157352
0,5,16,1222,251278
0,5,17,1222,157868
0,5,18,1222,157624
0,5,19,1222,201332
0,5,20,1222,157342
0,5,21,1222,157876
0,5,22,1222,158024
0,5,23,1222,157262
0,5,24,1221,157682
0,5,25,1221,157290
0,5,26,1222,251146
0,5,27,1222,250422
0,5,28,1222,157342
0,5,29,1222,251184
0,5,30,1222,157184
0,5,31,1222,157386
0,5,32,1222,156966
0,5,33,1222,157204
0,5,34,1222,157282
0,5,35,1222,157400
0,5,36,1222,157620
0,5,37,1222,157480
0,5,38,1222,157960
0,5,39,1222,157978
0,5,40,1222,157572
0,5,41,1222,257008
0,5,42,1222,251970
0,5,43,1222,251992
0,5,44,1222,252132
0,5,45,1222,157794
0,5,46,1222,252894
0,5,47,1222,157008
0,5,48,1222,252002
0,5,49,1222,157730
0,5,50,1222,157198
0,5,51,1222,157598
0,5,52,1222,159152
0,5,53,1222,157892
0,5,54,1222,161078
0,5,55,1222,158092
0,5,56,1222,157964
0,5,57,1222,157216
0,5,58,1222,157862
0,5,59,1222,157108
0,5,60,1222,157264
0,5,61,1221,156946
0,5,62,1222,273000
0,5,63,1222,255976
0,6,0,1222,251474
0,6,1,1222,251644
0,6,2,1222,251290
0,6,3,1222,233924
0,6,4,1222,220950
0,6,5,1222,217692
0,6,6,1222,217736
0,6,7,1222,217970
0,6,8,1222,220502
0,6,9,1222,167420
0,6,10,1222,165704
0,6,11,1222,157422
0,6,12,1222,157744
0,6,13,1222,157626
0,6,14,1222,160298
0,6,15,1221,157198
0,6,16,1222,251076
0,6,17,1222,157808
0,6,18,1222,157510
0,6,19,1222,157712
0,6,20,1222,157214
0,6,21,1222,158376
0,6,22,1222,157896
